headline,article,date
What is the age-wise distribution of COVID-19 vaccine doses in India?,"The government has released the age-wise distribution of COVID-19 vaccine doses as of September 26. While people in the age group of 18-44 account for 53.5% of vaccine doses, those in the age group of 45-60 account for 28.3% of the doses. People aged above 60 account for 18.2% doses. India has administered over 85.6 crore COVID-19 vaccine doses.","26 Sep 2021,Sunday"
India great example of a country that invested in vaccine capacity: Bill Gates,"Microsoft Co-founder Bill Gates called India ""a great example of a country that invested in its vaccine capacity"". He said, ""A few decades ago, India invested in its health capabilities by building research infrastructure in cities like Bengaluru, Hyderabad, Chennai, Ahmedabad and Pune."" He added, ""Today 2/3rds of all the world's children receive a vaccine that was made in India.""","26 Sep 2021,Sunday"
CoWIN vaccine certificates to have date of birth for those travelling abroad: Official,"People who are fully vaccinated against COVID-19 and want to travel abroad will have a CoWIN vaccination certificate with their full date of birth, National Health Authority chief RS Sharma said. The date will follow the ""yyyy-mm-dd"" (Year-Month-Day) format and will be as per WHO standards for international travellers, he added. Currently, the certificates only mention age of the beneficiary.","26 Sep 2021,Sunday"
India 1st to develop COVID-19 DNA vaccine for those above 12 years: PM,"PM Narendra Modi while addressing the 76th United Nations General Assembly said, India has developed the world's first DNA vaccine against COVID-19, which can be administered to all those above the age of 12 years. PM Modi was referring to Zydus Cadila's COVID-19 DNA vaccine, which had received emergency use approval from the Drugs Controller General of India last month. ","25 Sep 2021,Saturday"
Kerala lifts curbs on movement of unvaccinated people; issues new guidelines,"Kerala government on Saturday issued new COVID-19 guidelines and withdrew the restriction in movement of those who haven't taken any vaccine dose or don't have COVID-19 negative test reports. In-house dining is allowed at hotels, restaurants and bars at 50% capacity for fully vaccinated persons. Such establishments must be well ventilated and their staff must also be fully vaccinated.","25 Sep 2021,Saturday"
I pay tribute to those who died of COVID-19: PM Modi at UNGA,"PM Narendra Modi paid tribute to all those who died of COVID-19 and expressed condolences to their families as he addressed the 76th session of the United Nations General Assembly. ""For the last 1.5 years, the entire world has been facing the worst pandemic in 100 years,"" he said. He invited vaccine manufacturers to ""come, make vaccines in India"". ","25 Sep 2021,Saturday"
7.9cr COVID-19 vaccine doses supplied to Indo-Pacific nations: Quad,"The Quad has delivered nearly 7.9 crore COVID-19 vaccine doses to countries in the Indo-Pacific, according to a joint statement from the grouping. The Quad countries, India, the US, Australia and Japan, have pledged to donate over 120 crore vaccine doses globally. Coronavirus has infected more than 23 crore people globally, according to Johns Hopkins University COVID-19 tracker.","25 Sep 2021,Saturday"
"Come, make vaccines in India: PM Modi to global vaccine makers in UNGA speech","PM Narendra Modi during his UNGA address in US invited global vaccine manufacturers to ""come, make vaccines in India"". ""Despite limited resources, India- which believes in the philosophy of 'Seva Param Dharam' (service is the highest religion)-  is completely invested in the development and manufacturing of the vaccines,"" said PM. India has developed world's first DNA COVID-19 vaccine, he added.","25 Sep 2021,Saturday"
India to make available 80 lakh COVID-19 vaccine doses for Indo-Pacific: PM to Quad,"During the first in-person Quad Leaders Summit, PM Modi announced that India will make available 80 lakh doses of Johnson and Johnson's COVID-19 vaccine. ""This would be ready by...end of October compatible with our decision to resume vaccine export,"" Foreign Secretary Harsh Vardhan Shringla said. The vaccines will be delivered to the Indo-Pacific region and Quad will pay for them.","25 Sep 2021,Saturday"
Efforts on to make HP India's 1st fully vaccinated state by Nov: CM,"Himachal Pradesh CM Jairam Thakur has said the state is making efforts to become India's first state to inoculate 100% of its population with both COVID-19 vaccine doses by November 2021. Earlier this month, Himachal became the first state to vaccinate 100% of its eligible population with the first vaccine dose and one-third of the population with the second dose.","25 Sep 2021,Saturday"
"If third COVID-19 wave hits, its intensity would be low: CSIR","The Director-General of Council of Scientific and Industrial Research (CSIR), Dr Shekhar C Mande, has said even if the third wave of COVID-19 hits India, the intensity would be low. ""We have been able to get a large population vaccinated with first dose and even with second dose. Our vaccines do prevent the disease to a large extent,"" he explained. ","24 Sep 2021,Friday"
12-yr-old Dutch boy wins case against father who didn't allow him to take COVID vaccine,"A Dutch court has ruled in favour of a 12-year-old's wish to get COVID-19 vaccine so he can visit his ill grandmother, in defiance of his father's objections. The boy argued that getting the vaccine would reduce his chances of infecting his grandmother, who's battling lung cancer. Children aged 12-17 in the Netherlands need permission from both parents for vaccination.","24 Sep 2021,Friday"
"Nuclear energy is safe, surprised by the move away from it: Musk","Tesla CEO Elon Musk during Italian Tech Week said he's been surprised by the recent movement away from nuclear energy, which is ""quite safe"". He encouraged building more nuclear power plants or ""at least not shutting down the ones that we already have"". He also said the m-RNA COVID-19 vaccines are the beginning of ""digital medicine, or medicine as software"".","24 Sep 2021,Friday"
"Italy recognises Covishield vaccine, allows vaccinated Indians to get EU green pass","Italy has recognised Serum Institute of India's COVID-19 vaccine Covishield making Indian vaccine cardholders eligible for the EU green pass, the Indian embassy in Italy said. This came after G-20 Health Ministers' meeting between India's Mansukh Mandaviya and Italy's Roberto Speranza. The UK had also recently recognised Covishield for allowing entry to international travellers.","24 Sep 2021,Friday"
COVID-19 will end up resembling common cold: Oxford vaccine creator Sarah,"The creator of the Oxford-AstraZeneca vaccine Sarah Gilbert has said the virus that causes COVID-19 will eventually become like the coronaviruses which circulate widely and cause the common cold. ""We normally see that viruses become less virulent as they circulate more easily and there is no reason to think we'll have a more virulent version of SARS-CoV-2,"" she added.","24 Sep 2021,Friday"
Two-thirds of India's adult population vaccinated with at least 1 dose of COVID vaccine,"During the Health Ministry's briefing on Thursday, NITI Aayog member Dr VK Paul said that about two-thirds of India's adult population has been vaccinated with at least one dose of COVID-19 vaccine. He stated, ""66% of 18+ age group received at least one dose, almost a quarter of adult population [has] received both doses.""","23 Sep 2021,Thursday"
6 states/UTs have vaccinated 100% adult population with 1st COVID vaccine dose: Govt,"The government on Thursday said that six states and union territories have vaccinated 100% of its adult population with at least first dose of COVID-19 vaccination. The states and UTs include Lakshadweep, Chandigarh, Goa, Himachal Pradesh, Andaman and Nicobar Islands and Sikkim. Meanwhile, Lakshadweep has fully vaccinated 82% of its adult population.","23 Sep 2021,Thursday"
"What India has done, no other country could do: SC on COVID response","The Supreme Court on Thursday said what India managed to do in terms of response to coronavirus pandemic, ""no other country could do"". ""Given the size of our population, vaccine expenses, economic situation and the adverse circumstances that we faced...we took exemplary steps,"" it added. It reserved an order for October 4 on ₹50,000 compensation for kin of COVID-19 victims.","23 Sep 2021,Thursday"
"Govt allows COVID vaccines at home for differently-abled, those with restricted mobility","The government has stated that people with restricted mobility, special needs or disability can be vaccinated against COVID-19 at home. ""Those who don't have enough mobility...or if someone has a disability or some special needs that they can't be brought to the centre, we've made the provision of at-home vaccination under supervision for them,"" NITI Aayog's Dr VK Paul said.","23 Sep 2021,Thursday"
Japan to double vaccine donations to other nations to 60 mn doses,"Japanese PM Yoshihide Suga announced that the country will provide 60 million COVID-19 vaccine doses to other countries, doubling the target from the previous pledge of 30 million doses. Suga made the announcement at US-hosted Global COVID-19 Summit on Thursday. Japan has provided about 23 million doses so far, most of which went to Asian countries including Taiwan and Indonesia. ","23 Sep 2021,Thursday"
Canadian man punches nurse for giving wife vaccine 'without his consent',"A man in Canada allegedly punched a nurse in the face for giving his wife a COVID-19 vaccine shot ""without his authorisation"", a police spokesman said. Police in the Canadian province of Quebec have launched a hunt to nab the accused. The incident comes as anti-vaccine protests across Canada have ramped up, prompting British Columbia province to lock down schools.","23 Sep 2021,Thursday"
"US authorises booster dose of Pfizer's COVID-19 vaccine for high-risk adults, elderly","The US has authorised a booster dose of the Pfizer-BioNTech COVID-19 vaccine for high-risk adults, those aged 65 and above and others who are regularly exposed to the virus. The third shot will be administered at least six months after the second dose. The eligible people will include healthcare workers, teachers, grocery workers, those lodged in prisons and homeless shelters.","23 Sep 2021,Thursday"
There should be mutual recognition of vaccine certificates: PM amid UK controversy,"While addressing the Global COVID-19 Summit, PM Narendra Modi said that international travel should be made easier through mutual recognition of COVID-19 vaccine certificates. His comments came amid controversy over UK's decision to quarantine Indian travellers vaccinated with Covishield over certification issues. PM Modi added that India is running the world's largest vaccination campaign. ","22 Sep 2021,Wednesday"
India's cumulative COVID-19 vaccination coverage crosses 83-crore mark,"The cumulative number of COVID-19 vaccine doses administered in the country crossed 83 crore on Wednesday, the Union Health Ministry said. More than 64 lakh vaccine doses were administered till 7 pm on Wednesday, it added. On Wednesday, a total of 34,95,128 first COVID-19 doses were administered across the country and 30,03,146 second doses were administered.","22 Sep 2021,Wednesday"
US to donate 500 million additional Pfizer COVID-19 vaccines to world,"US President Joe Biden will announce on Wednesday that America would donate an additional 500 million Pfizer-BioNTech COVID-19 vaccine doses to other countries, officials said. The US President is expected to announce the decision at a virtual summit on the sidelines of the UNGA in New York. The donations are being made ""free of charge"", a senior administration official said.","22 Sep 2021,Wednesday"
"UK, South Korea agree to swap 1 million COVID-19 vaccine doses","The UK and South Korea have agreed to swap over 1 million COVID-19 vaccine doses with each other. Britain will be sending the first batch of Pfizer shots in the coming weeks and South Korea will return the same amount by year-end. ""This...will maximise South Korea's rollout speed without having an impact on...UK's vaccine programme,"" Health Minister Sajid Javid said.","22 Sep 2021,Wednesday"
Serum Institute of India to invest $68 mn in UK vaccine maker Oxford Biomedica,"Pune's Serum Institute of India (SII), the world's largest vaccine manufacturer by volume, will invest $68 million in UK's Oxford Biomedica. The investment will help fund the development of a plant that manufactures COVID-19 shots, the British company said on Wednesday. Serum Life Sciences, a unit of SII, will pick up a 3.9% stake in Oxford Biomedica.","22 Sep 2021,Wednesday"
UK approves Covishield after India warns of action but Indians still need to quarantine,"The UK has revised its travel policy to include Covishield as an approved vaccine after India warned it of reciprocal action. However, Indians vaccinated with Covishield will still need to quarantine due to certification issues. The UK said it is working with India to expand recognition of vaccine certification to people vaccinated by a relevant public health body in India.","22 Sep 2021,Wednesday"
Bengal locals get COVID vaccination in Bihar to avoid illegal commission: Report,"Some West Bengal residents claimed to have saved their money and time by opting to receive the first COVID-19 vaccine dose at public health centres in Bihar's Katihar, instead of Bengal to escape paying ""illegal commission"", Hindustan Times reported. ""In Bengal, we've to pay ₹600, even ₹800, but in Bihar, health officials have charged just ₹100,"" a Bengal resident said.","22 Sep 2021,Wednesday"
WHO chief thanks India's Health Minister for announcing COVID vaccine export resumption ,"World Health Organization (WHO) chief Tedros Adhanom Ghebreyesus on Wednesday thanked Union Health Minister Mansukh Mandaviya for announcing resumption of COVID-19 vaccine shipments to the COVAX global pool in October. ""This is an important development in support of reaching the 40% vaccination target in all countries by the end of the year,"" Ghebreyesus wrote.","22 Sep 2021,Wednesday"
 We're getting F in Ethics: UN chief on global vaccine inequality,"Speaking about global COVID-19 vaccine inequality, UN Secretary-General Antonio Guterres on Tuesday said, ""This is a moral indictment of the state of our world. It's an obscenity. We passed the science test. But we're getting an F in Ethics."" The majority of the wealthier world is immunised while more than 90% of Africa hasn't even received one dose, he added. ","22 Sep 2021,Wednesday"
J&J says its booster shot gives 94% protection against COVID-19,"Johnson & Johnson on Tuesday announced new data saying that a booster shot of its COVID-19 vaccine provided 94% protection against COVID-19 in the US if administered two months after the first dose. A booster shot delayed up to six months is more effective, as it leads to a 12-fold increase in antibodies, according to J&J's Phase 3 trials data.","21 Sep 2021,Tuesday"
"Govt won't buy Pfizer, Moderna COVID-19 vaccines as local output jumps: Report","The Indian government will not buy COVID-19 shots from Pfizer and Moderna, Reuters reported on Tuesday citing three government sources. ""This is mainly because the domestic output of more affordable and easier-to-store vaccines has jumped,"" the report added. The government also declined to meet the US companies' requests for legal protection over any side-effects from its shots, the report added.","21 Sep 2021,Tuesday"
Nations must harmonise vaccine certification: Poonawalla amid UK quarantine row,"Amid a row over UK's rules mandating fully vaccinated Indians to undergo quarantine, Covishield maker SII's CEO Adar Poonawalla called for ""harmonising vaccine certification"" on priority. Poonawalla added that he was ""shocked why countries are unable to come together on one regulatory quality standard for (COVID-19) vaccine trials and travel passports"". India called UK's rules ""discriminatory"".","21 Sep 2021,Tuesday"
"Pimpri Chinchwad civic body vaccinates 4,835 citizens in a week","The Pimpri Chinchwad Municipal Corporation (PCMC) vaccinated 4,835 citizens as part of its COVID-19 vaccination drive conducted across 29 residential societies over a week. PCMC Assistant Medical Officer Dr Laxman Gofane said the drive aims to cover as many people as possible depending on the availability of vaccines. ""PCMC is providing the medical staff necessary for the drive,"" he added.","21 Sep 2021,Tuesday"
"UK not recognising Covishield is discriminatory, we've right to reciprocal action: India","The non-recognition of the Covishield COVID-19 vaccine by the UK is a ""discriminatory policy"", India said on Tuesday, adding that if the issue is not resolved, it is ""well within our rights to take reciprocal action"". ""The External Affairs Minister (S Jaishankar) has raised the issue strongly with the UK Foreign Secretary (Liz Truss),"" said India's Foreign Secretary HV Shringla.","21 Sep 2021,Tuesday"
Get your act together: Shashi Tharoor to UK over new travel rules,"Criticising UK government's new COVID-19-related travel rules, Congress MP Shashi Tharoor said, ""Double standards applied by UK are impossible to understand."" ""It's time we all...said to the British - 'Get your act together'. Either you ask Serum Institute of India (SII) to make those vaccines and ship it to Britain, or you say you don't accept the vaccines,"" Tharoor added.","21 Sep 2021,Tuesday"
Vaccines save lives: UK PM tells Brazilian Prez who hasn't taken COVID-19 vaccine,"While meeting on the sidelines of the United Nations General Assembly in New York, UK PM Boris Johnson told Brazilian President Jair Bolsonaro, who hasn't been inoculated against COVID-19, that vaccines ""save lives around the world"". Johnson's office also said that the PM ""emphasised the important role the Oxford-AstraZeneca vaccine has played in the UK, Brazil and elsewhere.""","21 Sep 2021,Tuesday"
Over 38 crore COVID-19 vaccine doses administered in US so far,"The US has administered over 38 crore COVID-19 vaccine doses in the country as of Monday morning, US Centers for Disease Control and Prevention (CDC) said. Over 21 crore people have received at least one dose, while more than 18.1 crore are fully vaccinated, CDC added. Over 22 lakh people have also received a third vaccine dose since August 13.","21 Sep 2021,Tuesday"
1st COVID vaccine dose must to enter public spaces in Jammu from Oct 2,"Amid the ongoing COVID-19 pandemic, Jammu Deputy Commissioner Anshul Garg has made the first COVID-19 vaccine dose mandatory for adults to enter government offices and other public places in Jammu from October 2. While appealing to every eligible citizen to get vaccinated, Garg said all vaccination centres in Jammu will now be open six days a week, except Wednesday.","21 Sep 2021,Tuesday"
Working with India: UK on 'vaccinated Indians to be treated as unvaccinated' rule,"The UK has said, ""We are engaging with the government of India to explore how we could expand UK recognition of COVID-19 vaccine certification to people vaccinated by a relevant public health body in India."" This comes after UK travel rules stated that fully vaccinated Indians will not be considered as vaccinated in the UK.","21 Sep 2021,Tuesday"
